,Gender,System administrator,Student,Game or graphics developer,Designer,Embedded applications or devices developer,Marketing or sales professional,Back-end developer,Data scientist or machine learning specialist,Data or business analyst,Full-stack developer,DevOps specialist,"C-suite executive (CEO, CTO, etc.)",Engineering manager,Mobile developer,Product manager,Database administrator,QA or test developer,Front-end developer,Educator or academic researcher,Desktop or enterprise applications developer
0,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,Male,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
3,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,Male,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
5,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
6,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
7,Female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8,Male,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0
14,Male,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
17,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Female,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
20,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
21,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
22,Male,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1
25,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
27,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
30,Male,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
31,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
32,Female,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
33,Female,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Male,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0
36,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
37,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
39,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
41,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,Female,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,Male,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
45,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
46,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
47,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
48,Male,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
51,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
53,Male,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
55,Male,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
57,Male,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
58,Male,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1
60,Male,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
61,Male,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,Male,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
63,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,Male,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
69,Male,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
70,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
72,Male,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
73,Male,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
76,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
78,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
79,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
80,Male,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
81,Male,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
82,Male,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
83,Male,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0
84,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,Male,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
90,Male,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
91,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,Male,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
95,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,Male,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
106,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
114,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
116,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
117,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
118,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
120,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
123,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
124,Male,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
125,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
129,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Male,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
132,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
133,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
136,Male,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
139,Male,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
140,Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
141,Male,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
142,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
143,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Male,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
