,Country,OperatingSystem
0,Kenya,Linux-based
1,United Kingdom,Linux-based
3,United States of America,Windows
4,South Africa,Windows
5,United Kingdom,Linux-based
6,United States of America,MacOS
7,Nigeria,Windows
8,United States of America,MacOS
13,India,Linux-based
14,Netherlands,Windows
17,Sweden,Windows
18,India,Windows
20,Australia,MacOS
21,United States of America,MacOS
22,United Kingdom,Windows
23,United States of America,MacOS
24,India,MacOS
25,Greece,Linux-based
26,Sweden,MacOS
27,United States of America,Windows
29,United Kingdom,MacOS
30,Poland,Linux-based
31,Sweden,MacOS
32,United States of America,MacOS
33,United States of America,MacOS
34,Poland,Windows
35,United States of America,Linux-based
36,United Kingdom,MacOS
37,Belgium,Windows
39,United States of America,Windows
40,Germany,MacOS
41,India,Windows
42,Russia,Windows
43,United States of America,Linux-based
44,India,Windows
45,India,Windows
46,United States of America,Linux-based
47,United States of America,MacOS
48,Indonesia,MacOS
49,United States of America,MacOS
51,United States of America,Windows
53,Germany,Windows
55,Germany,Windows
57,France,Linux-based
58,Ukraine,Windows
60,Denmark,Linux-based
61,United States of America,MacOS
62,United States of America,BSD/Unix
63,Germany,Windows
64,Dominican Rep.,Windows
65,China,Windows
69,Russia,Windows
70,China,Linux-based
72,Algeria,Windows
73,United States of America,Linux-based
74,India,MacOS
75,United States of America,Windows
76,Colombia,Windows
78,India,Linux-based
79,United Kingdom,Windows
80,Japan,MacOS
81,France,Windows
82,United Kingdom,MacOS
83,Indonesia,MacOS
84,Argentina,Windows
85,United States of America,Windows
86,United States of America,Windows
90,Poland,Windows
91,Romania,Windows
93,India,MacOS
95,India,Linux-based
96,Germany,MacOS
97,Brazil,Windows
99,Iran,Linux-based
100,United States of America,MacOS
101,Brazil,Windows
103,United Kingdom,MacOS
104,Ukraine,Linux-based
105,Germany,Windows
106,India,Windows
108,United States of America,Windows
110,Pakistan,Windows
111,United States of America,MacOS
112,India,Windows
113,United Kingdom,Windows
114,United Kingdom,MacOS
115,United States of America,Linux-based
116,Sweden,Windows
117,United States of America,Windows
118,India,Windows
119,Poland,Windows
120,South Africa,Windows
123,India,Linux-based
124,Portugal,MacOS
125,United Kingdom,Windows
126,Italy,Windows
127,New Zealand,MacOS
128,Turkey,Windows
129,Czechia,Windows
130,Israel,Windows
131,Poland,Linux-based
132,Portugal,Windows
133,India,Linux-based
134,United Kingdom,Linux-based
136,Sweden,Windows
139,India,MacOS
140,United States of America,Windows
141,Denmark,Linux-based
142,Australia,MacOS
143,Australia,MacOS
144,Iran,Windows
145,France,Windows
146,Austria,Windows
147,Australia,MacOS
149,India,Linux-based
150,United States of America,MacOS
151,India,Windows
152,Russia,MacOS
153,United States of America,MacOS
154,India,Windows
155,India,Linux-based
157,United Kingdom,Windows
