,Salary,SalaryType,YearsCoding,YearsCodingProf,Currency,SalaryUSD
1,51000.0,Yearly,30 or more years,18-20 years,British pounds sterling (£),63240.0
4,260000.0,Yearly,6-8 years,0-2 years,South African rands (R),13520.0
6,120000.0,Yearly,9-11 years,0-2 years,U.S. dollars ($),120000.0
8,250000.0,Yearly,30 or more years,21-23 years,U.S. dollars ($),250000.0
14,0.0,Monthly,0-2 years,0-2 years,Euros (€),0.0
17,32000.0,Monthly,6-8 years,0-2 years,Swedish kroner (SEK),35328.0
20,120000.0,Yearly,15-17 years,12-14 years,Australian dollars (A$),78000.0
22,25.0,Monthly,9-11 years,6-8 years,British pounds sterling (£),372.0
23,75000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),75000.0
24,700000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),8400.0
25,3500.0,Monthly,9-11 years,9-11 years,Euros (€),44940.0
26,582000.0,Yearly,12-14 years,12-14 years,Swedish kroner (SEK),53544.0
27,75000.0,Monthly,3-5 years,0-2 years,U.S. dollars ($),900000.0
30,8500.0,Monthly,3-5 years,3-5 years,Polish złoty (zł),25500.0
32,44000.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),44000.0
33,60000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),60000.0
35,80000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),80000.0
41,660000.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),95040.0
42,100000.0,Monthly,24-26 years,24-26 years,Russian rubles (₽),13200.0
43,74000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),74000.0
45,35000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),5040.0
46,115000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),115000.0
47,70000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),70000.0
51,115000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),115000.0
53,5000.0,Monthly,9-11 years,9-11 years,Euros (€),64200.0
57,900.0,Monthly,9-11 years,0-2 years,Euros (€),11556.0
62,120000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),120000.0
65,2500.0,Weekly,6-8 years,0-2 years,Chinese yuan renminbi (¥),18200.000000000004
70,550000.0,Yearly,12-14 years,3-5 years,Chinese yuan renminbi (¥),77000.00000000001
73,3000.0,Monthly,0-2 years,0-2 years,U.S. dollars ($),36000.0
80,300000.0,Monthly,0-2 years,0-2 years,Japanese yen (¥),23400.0
81,43000.0,Yearly,15-17 years,9-11 years,Euros (€),46010.0
82,59500.0,Yearly,24-26 years,9-11 years,British pounds sterling (£),73780.0
85,78000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),78000.0
86,120000.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),120000.0
87,200000.0,Monthly,3-5 years,3-5 years,Russian rubles (₽),26400.0
90,8500.0,Monthly,6-8 years,6-8 years,Polish złoty (zł),25500.0
91,1800.0,Monthly,0-2 years,0-2 years,Euros (€),23112.0
93,2200000.0,Yearly,6-8 years,6-8 years,Indian rupees (₹),26400.0
95,22000.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),3168.0
100,141625.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),141625.0
103,51183.0,Yearly,12-14 years,9-11 years,British pounds sterling (£),63466.92
105,2400.0,Monthly,6-8 years,3-5 years,Euros (€),30816.0
106,300000.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),3600.0
111,120000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),120000.0
114,46000.0,Yearly,3-5 years,3-5 years,British pounds sterling (£),57040.0
116,510000.0,Yearly,3-5 years,3-5 years,Swedish kroner (SEK),46920.0
117,110000.0,Yearly,21-23 years,18-20 years,U.S. dollars ($),110000.0
120,29000.0,Monthly,6-8 years,3-5 years,South African rands (R),18096.0
123,52000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),7488.0
124,17500.0,Yearly,9-11 years,0-2 years,Euros (€),18725.0
125,55000.0,Monthly,15-17 years,9-11 years,British pounds sterling (£),818400.0
