,TimeSearching,TimeAnswering
1,15-30 minutes a day,15-30 minutes a day
2,30-60 minutes a day,30-60 minutes a day
3,15-30 minutes a day,30-60 minutes a day
4,60-120 minutes a day,30-60 minutes a day
5,30-60 minutes a day,15-30 minutes a day
6,Less than 15 minutes a day,15-30 minutes a day
7,60-120 minutes a day,30-60 minutes a day
10,30-60 minutes a day,60-120 minutes a day
12,15-30 minutes a day,15-30 minutes a day
13,15-30 minutes a day,30-60 minutes a day
14,15-30 minutes a day,Over 120 minutes a day
15,15-30 minutes a day,15-30 minutes a day
17,60-120 minutes a day,30-60 minutes a day
19,15-30 minutes a day,15-30 minutes a day
20,Over 120 minutes a day,30-60 minutes a day
21,15-30 minutes a day,Less than 15 minutes a day
24,Less than 15 minutes a day,Less than 15 minutes a day
25,60-120 minutes a day,15-30 minutes a day
26,30-60 minutes a day,15-30 minutes a day
28,15-30 minutes a day,30-60 minutes a day
29,15-30 minutes a day,30-60 minutes a day
32,15-30 minutes a day,15-30 minutes a day
34,15-30 minutes a day,60-120 minutes a day
36,30-60 minutes a day,30-60 minutes a day
37,15-30 minutes a day,30-60 minutes a day
38,30-60 minutes a day,15-30 minutes a day
39,Over 120 minutes a day,Over 120 minutes a day
40,30-60 minutes a day,15-30 minutes a day
43,30-60 minutes a day,15-30 minutes a day
44,Less than 15 minutes a day,15-30 minutes a day
45,Over 120 minutes a day,15-30 minutes a day
48,30-60 minutes a day,15-30 minutes a day
51,30-60 minutes a day,60-120 minutes a day
56,30-60 minutes a day,30-60 minutes a day
59,30-60 minutes a day,15-30 minutes a day
61,15-30 minutes a day,15-30 minutes a day
64,60-120 minutes a day,30-60 minutes a day
77,Less than 15 minutes a day,15-30 minutes a day
80,30-60 minutes a day,30-60 minutes a day
82,60-120 minutes a day,30-60 minutes a day
85,30-60 minutes a day,60-120 minutes a day
86,Over 120 minutes a day,Over 120 minutes a day
88,30-60 minutes a day,15-30 minutes a day
91,30-60 minutes a day,30-60 minutes a day
92,15-30 minutes a day,15-30 minutes a day
96,30-60 minutes a day,15-30 minutes a day
97,60-120 minutes a day,30-60 minutes a day
99,Less than 15 minutes a day,Over 120 minutes a day
102,60-120 minutes a day,15-30 minutes a day
104,15-30 minutes a day,15-30 minutes a day
108,30-60 minutes a day,30-60 minutes a day
110,60-120 minutes a day,15-30 minutes a day
111,30-60 minutes a day,15-30 minutes a day
112,30-60 minutes a day,60-120 minutes a day
113,15-30 minutes a day,Less than 15 minutes a day
114,60-120 minutes a day,60-120 minutes a day
116,Less than 15 minutes a day,Less than 15 minutes a day
117,60-120 minutes a day,30-60 minutes a day
120,15-30 minutes a day,15-30 minutes a day
121,30-60 minutes a day,30-60 minutes a day
122,15-30 minutes a day,15-30 minutes a day
125,30-60 minutes a day,15-30 minutes a day
126,Over 120 minutes a day,Over 120 minutes a day
127,Less than 15 minutes a day,60-120 minutes a day
129,Less than 15 minutes a day,Less than 15 minutes a day
130,15-30 minutes a day,15-30 minutes a day
139,Less than 15 minutes a day,Less than 15 minutes a day
144,60-120 minutes a day,15-30 minutes a day
147,Over 120 minutes a day,15-30 minutes a day
148,15-30 minutes a day,30-60 minutes a day
